Risk_ID,Risk_Category,Risk_Description,Likelihood,Impact,Risk_Score,Mitigation_Strategy,Owner,Status,Review_Date,Related_Guardrail,TOGAF_Phase,Cloud_Platform,RPO_Hours,RTO_Hours
R-001,Security,Unauthorized access to AI endpoints triggering data exfiltration,High,High,High,"VPC Service Controls, Private Endpoints, API Gateway with WAF, Cloud Armor",Security Architect,Active,2025-03-01,G-004,Phase D,GCP/AWS,0,1
R-002,Compliance,Training data contains PII without proper consent/anonymization,Medium,High,High,DLP scan pre-training, Anonymization pipeline, Responsible AI toolkit,Legal Officer,Active,2025-02-15,G-001,G-005,Phase B,GCP/AWS,N/A,N/A
R-003,Ethical,Model produces biased outputs against protected groups,Medium,High,High,"Fairness Indicators, What-If Tool, Human review, Threshold controls",AI Ethics Lead,Active,2025-03-01,G-005,Phase B/GCP G4-Vertex AI Monitoring,AWS SageMaker Clarify,Bias monitoring enabled,0,0
R-004,Operational,Model drift causing degraded prediction accuracy,High,Medium,Medium,"Vertex AI Model Monitoring, Automated retraining triggers, Alerting",MLOps Lead,Active,2025-02-01,AG-003,Phase G,GCP/AWS,0,2
R-005,Cost,GenAI token API costs exceeding budget by >50%,High,Medium,Medium,"Caching layer (Memorystore/ElastiCache), Rate limiting, Commitment-based pricing",FinOps Engineer,Active,2025-02-01,AG-001,Phase E,GCP/AWS,N/A,N/A
R-006,Vendor,Third-party AI model provider changes deprecation policy,Medium,Medium,Medium,"Multi-model strategy, Abstraction layer, Vendor lock-in review during architecture",Enterprise Architect,Active,2025-04-01,AG-002,Phase E,GCP/AWS,N/A,N/A
R-007,Security,Prompt injection attacks on conversational AI agents,High,High,High,"Input validation, Prompt guardrails, Output filtering, ConversationGuard (Vertex AI)",Security Architect,Active,2025-03-01,G-004,Phase D,GCP,N/A,N/A
R-008,Data Quality,Incomplete or skewed training data leading to poor model performance,Medium,High,High,"Data profiling (Dataplex/Catalog), Quality rules, Great Expectations, AutoML data validation",Data Engineer,Active,2025-02-15,G-002,Phase A,GCP/AWS,N/A,N/A
R-009,Availability,AI service outage impacting downstream business functions,Medium,High,High,"Multi-region failover, Circuit breakers, Fallback to rule-based logic, SLOs defined",Cloud Architect,Active,2025-03-01,G-001,Phase C,GCP/AWS,4,8
R-010,Privacy,Model memorization exposing training data through inference,Medium,High,High,"Differential privacy (DP), Federated learning, Post-training privacy audits",Privacy Officer,Active,2025-02-01,G-001,G-005,Phase C,GCP/AWS,N/A,N/A
R-011,Reliability,MLOps pipeline failure causing stale model serving,High,Medium,High,"Pipeline monitoring, Rollback automation, Canary deployments, A/B testing gates",MLOps Lead,Active,2025-02-01,AG-003,Phase G,GCP/AWS,1,4
R-012,Legal,AI-generated content violates copyright or IP licensing,Medium,High,High,"Content filtering, Source attribution, Legal review workflow, Output watermarking",Legal Officer,Active,2025-04-01,G-005,Phase B,GCP/AWS,N/A,N/A